labels,gross_profit,profit_margin,return_assets,debt_equit,current_ratio,cash_flow
0,0.52,-0.04,0.2,1.68,1.84,1.58
0,0.49,-0.01,0.11,1.5,2,1.56
0,0.52,-0.04,0.2,1.69,1.7,1.64
0,0.47,-0.01,0.11,1.52,1.98,1.49
0,0.52,-0.04,0.2,1.66,1.71,1.6
0,0.48,-0.01,0.11,1.46,2.08,1.55
0,0.5,-0.04,0.19,1.62,1.78,1.54
0,0.5,-0.01,0.11,1.54,2.04,1.62
0,0.54,-0.04,0.21,1.63,1.79,1.58
0,0.5,0.05,0.11,1.56,2.02,1.61
0,0.51,-0.04,0.2,1.7,1.79,1.56
0,0.49,-0.01,0.11,1.54,2.05,1.61
0,0.5,-0.04,0.19,1.64,1.77,1.53
0,0.5,0.03,0.11,1.5,2.12,1.57
0,0.5,-0.04,0.2,1.71,1.72,1.56
0,0.5,0.05,0.11,1.49,2.12,1.59
0,0.54,-0.04,0.19,1.65,1.72,1.5
0,0.48,-0.01,0.11,1.44,2.04,1.53
0,0.19,-0.04,-0.02,2.47,1.82,0.22
0,0.16,-0.01,0,2.66,2.09,0.19
0,0.19,-0.04,-0.02,2.63,1.77,0.24
0,0.16,0.03,0,2.7,2.11,0.19
0,0.2,-0.04,-0.02,2.69,1.77,0.23
0,0.17,-0.01,0.03,2.73,2,0.18
0,0.19,-0.04,-0.02,2.63,1.83,0.23
0,0.5,0.05,0.11,1.49,2.12,1.59
0,0.54,-0.04,0.19,1.65,1.72,1.5
0,0.48,-0.01,0.11,1.44,2.04,1.53
0,0.19,-0.04,-0.02,2.47,1.82,0.22
0,0.16,-0.01,0.08,2.66,2.09,0.19
0,0.19,-0.04,-0.02,2.63,1.77,0.24
0,0.16,0.03,0.09,2.7,2.11,0.19
0,0.2,-0.04,-0.02,2.69,1.77,0.23
0,0.17,-0.01,0.03,2.73,2,0.18
0,0.19,-0.04,-0.02,2.63,1.83,0.23
1,0.16,0.03,0.04,2.77,1.96,0.19
1,0.19,-0.04,-0.02,2.49,1.72,0.24
1,0.16,-0.01,0,2.78,2,0.19
1,0.2,-0.04,0.04,2.49,1.77,0.24
1,0.16,-0.01,0,2.56,2.05,0.18
1,0.21,-0.04,-0.02,2.51,1.87,0.22
1,0.16,-0.01,0,2.64,2.13,0.19
1,0.2,0.3,0.04,2.63,1,1.58
1,0.16,0.24,0.03,2.79,1.25,1.56
1,0.2,0.31,-0.02,2.63,0.97,1.64
1,0.16,0.24,0,2.54,1.22,1.49
1,0.2,0.3,0.03,2.56,0.98,1.6
1,0.16,0.23,0.08,2.78,1.25,1.55
1,0.21,0.3,-0.02,2.62,0.98,1.54
1,0.16,0.25,0.08,2.63,1.23,1.62
1,0.19,0.29,-0.02,2.46,0.99,1.58
1,0.17,0.23,0,2.54,1.2,1.61
1,0.2,0.29,-0.02,2.71,1.03,1.56
1,0.16,0.24,0,2.6,1.24,1.61
1,0.2,0.3,-0.02,2.54,0.98,1.53
1,0.16,0.23,0,2.59,1.23,1.57
1,0.21,0.29,-0.02,2.71,1.04,1.56
1,0.17,0.24,0,2.69,1.25,1.59
1,0.19,0.3,-0.02,2.67,0.97,1.5
1,0.16,0.23,0,2.59,1.25,1.53
